segment_id,edge_id,travel_rate
11994462_6,11994462,nan
11994462_7,11994462,nan
11994462_8,11994462,nan
11994462_9,11994462,nan
11994462_10,11994462,nan
11994462_11,11994462,nan
11994462_12,11994462,nan
11994462-AddedOnRampEdge_0,11994462-AddedOnRampEdge,nan
11994462-AddedOnRampEdge_1,11994462-AddedOnRampEdge,nan
11994462-AddedOnRampEdge_2,11994462-AddedOnRampEdge,nan
128189136_0,128189136,nan
128189136_1,128189136,nan
128189136_2,128189136,nan
128189136_3,128189136,nan
128189136_4,128189136,nan
128189136_5,128189136,nan
128189136_6,128189136,nan
128189136_7,128189136,nan
128189136_8,128189136,nan
146909950#0_0,146909950#0,nan
146909950#0_1,146909950#0,nan
146909950#1_0,146909950#1,nan
146909950#1_1,146909950#1,nan
155345296#0_0,155345296#0,nan
155345296#0_1,155345296#0,nan
155345296#0_2,155345296#0,nan
155345296#0_3,155345296#0,nan
155345296#0_4,155345296#0,nan
155345296#0_5,155345296#0,nan
155345296#0_6,155345296#0,nan
155345296#1_0,155345296#1,nan
155345296#1_1,155345296#1,nan
16403444#0_0,16403444#0,nan
16403444#0_1,16403444#0,nan
16403444#0_2,16403444#0,nan
16403444#0_3,16403444#0,nan
16403444#1_0,16403444#1,nan
16403444#1_1,16403444#1,nan
16403446_0,16403446,nan
16403446_1,16403446,nan
16403446_2,16403446,nan
16403446_3,16403446,nan
16808971_0,16808971,nan
16808971_1,16808971,nan
16808971_2,16808971,nan
16808971_3,16808971,nan
16808971_4,16808971,nan
16808971_5,16808971,nan
16808971_6,16808971,nan
16808971_7,16808971,nan
16808971_8,16808971,nan
16808971_9,16808971,nan
16808971_10,16808971,nan
16808971_11,16808971,nan
17516648_0,17516648,nan
17516648_1,17516648,nan
17516648_2,17516648,nan
17550539_0,17550539,nan
17550539_1,17550539,nan
17550539_2,17550539,nan
17550539_3,17550539,nan
17550539_4,17550539,nan
17550539_5,17550539,nan
18702678_0,18702678,nan
18702678_1,18702678,nan
18702678_2,18702678,nan
18702678_3,18702678,nan
18702678_4,18702678,nan
18702680_0,18702680,nan
18702680_1,18702680,nan
18702680_2,18702680,nan
18702680_3,18702680,nan
18702680_4,18702680,nan
18702682_0,18702682,nan
18702682_1,18702682,nan
18702682_2,18702682,nan
18702682_3,18702682,nan
208416643_0,208416643,nan
22941414_0,22941414,nan
22941414_1,22941414,nan
22941414_2,22941414,nan
22941416#0_0,22941416#0,nan
22941416#0_1,22941416#0,nan
22941416#0_2,22941416#0,nan
22941416#1_0,22941416#1,nan
22941416#1_1,22941416#1,nan
22941416#1_2,22941416#1,nan
22941416#1_3,22941416#1,nan
261187938_0,261187938,nan
261187938_1,261187938,nan
261187938-AddedOffRampEdge_0,261187938-AddedOffRampEdge,nan
261583463_0,261583463,nan
261583463_1,261583463,nan
261583463_2,261583463,nan
261583463_3,261583463,nan
261583463_4,261583463,nan
261583463_5,261583463,nan
261583463_6,261583463,nan
261583463_7,261583463,nan
261583463_8,261583463,nan
261583463_9,261583463,nan
261583463_10,261583463,nan
261583463_11,261583463,nan
261583463_12,261583463,nan
261583464_0,261583464,nan
261583464_1,261583464,nan
261583464_2,261583464,nan
261583464_3,261583464,nan
261583464_4,261583464,nan
261583464_5,261583464,nan
261583464_6,261583464,nan
261583464_7,261583464,nan
26378010_0,26378010,nan
26378010_1,26378010,nan
26380527_0,26380527,nan
26380527_1,26380527,nan
273755091#2_0,273755091#2,nan
28001589_0,28001589,nan
28001589_1,28001589,nan
28001589_2,28001589,nan
28001589_3,28001589,nan
28458821_0,28458821,nan
28458821_1,28458821,nan
